ev_id,damage,cert_max_gr_wt,afm_hrs_last_insp,ev_dow,ev_time,ev_year,ev_month,ev_nr_apt_loc,apt_dist,apt_elev,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,wx_cond_basic,dec_latitude,dec_longitude,crew_no,crew_age,med_certf,med_crtf_vldty,crew_tox_perf,severity_class
20080225X00233,SUBS,,,Su,20.0,2008,1,ONAP,0.0,4229.0,DAYL,,0.0,0.0,,10.0,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,41.552223,-112.062225,1,58.0,CL3,,N,SUBS-NONE
20080229X00248,SUBS,,,Fr,2300.0,2008,1,ONAP,0.0,,DAYL,CLER,0.0,0.0,NONE,30.0,30.0,0.0,0.0,,0.0,0.0,MINR,VMC,43.128887,-121.817779,1,41.0,CL2,,N,SUBS-MINR
20080211X00174,SUBS,1670.0,50.0,Fr,1630.0,2008,2,ONAP,0.0,,DAYL,SCAT,4000.0,20000.0,BKN,10.0,45.0,43.0,0.0,4.0,0.0,30.290000915527344,NONE,VMC,37.45,-122.099998,1,37.0,CL1,WOWL,N,SUBS-NONE
20080211X00173,SUBS,1320.0,,Fr,1916.0,2008,2,OFAP,0.0,1350.0,DAYL,FEW,12000.0,0.0,NONE,10.0,63.0,46.0,220.0,6.0,0.0,30.020000457763672,NONE,VMC,33.579166,-117.116668,1,61.0,CL3,,N,SUBS-NONE
20080219X00205,DEST,,60.0,Tu,45.0,2008,2,OFAP,0.0,,NITE,,0.0,0.0,,,72.0,68.0,160.0,13.0,21.0,29.81999969482422,FATL,IMC,29.756666,-94.845001,1,49.0,CL3,WOWL,Y,DEST-FATL
20080211X00168,SUBS,3615.0,,Mo,1830.0,2008,2,ONAP,0.0,5930.0,DAYL,OVCT,5000.0,0.0,NONE,10.0,25.0,19.0,0.0,,0.0,29.809999465942383,NONE,VMC,37.859722,-112.816108,1,76.0,CL3,WWL,N,SUBS-NONE
20080326X00389,SUBS,,,Tu,1650.0,2008,2,ONAP,0.0,,DAYL,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,62.293334,-153.361938,1,32.0,CL2,,N,SUBS-NONE
20080305X00269,SUBS,2500.0,,Mo,2230.0,2008,1,ONAP,0.0,55.0,DAYL,CLER,0.0,0.0,NONE,10.0,54.0,45.0,210.0,3.0,0.0,30.260000228881836,NONE,VMC,30.487222,-89.651107,1,46.0,CL3,WOWL,N,SUBS-NONE
20080321X00361,SUBS,1220.0,,Tu,1830.0,2008,1,ONAP,0.0,8.0,DAYL,CLER,0.0,0.0,NONE,10.0,61.0,52.0,160.0,11.0,17.0,30.100000381469727,MINR,VMC,26.001111,-80.240554,1,19.0,CL2,WOWL,N,SUBS-MINR
20080319X00330,SUBS,2350.0,25.0,Th,2315.0,2008,2,ONAP,0.0,1003.0,DAYL,CLER,0.0,0.0,NONE,10.0,54.0,36.0,240.0,6.0,0.0,29.889999389648438,NONE,VMC,33.871944,-84.301109,1,26.0,CL1,WWL,N,SUBS-NONE
20080208X00159,SUBS,883.0,,Sa,1700.0,2008,1,OFAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,45.0,16.0,0.0,,0.0,30.290000915527344,FATL,VMC,31.940555,-111.081665,1,60.0,SPRT,NONE,Y,SUBS-FATL
20080214X00195,SUBS,,,Su,2030.0,2008,1,,0.0,,DAYL,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,40.542499,-87.420829,1,71.0,SPRT,,N,SUBS-NONE
20080416X00494,SUBS,,,Sa,140.0,2008,2,OFAP,3.0,,NITE,OVCT,7000.0,11000.0,OVC,10.0,57.0,46.0,220.0,5.0,0.0,29.920000076293945,SERS,VMC,30.396389,-84.349998,1,49.0,CL3,,N,SUBS-SERS
20080213X00184,SUBS,3100.0,,Fr,227.0,2008,2,OFAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,54.0,39.0,320.0,5.0,0.0,30.040000915527344,NONE,VMC,29.533611,-98.468612,1,25.0,CL1,WWL,N,SUBS-NONE
20080306X00276,SUBS,,,Sa,2350.0,2008,2,,0.0,,DAYL,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,33.03004,-96.80928,1,32.0,CL3,,N,SUBS-NONE
20080321X00362,SUBS,,,Su,1400.0,2008,2,ONAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,64.0,52.0,40.0,11.0,0.0,30.209999084472656,NONE,VMC,26.603332,-82.219718,1,78.0,CL3,WWL,N,SUBS-NONE
20080213X00186,SUBS,2900.0,4.400000095367432,Su,1739.0,2008,2,OFAP,1.0,152.0,DAYL,CLER,0.0,0.0,NONE,10.0,72.0,46.0,100.0,6.0,0.0,30.309999465942383,SERS,VMC,30.049165,-95.551109,1,60.0,CL2,WWL,N,SUBS-SERS
20080219X00210,SUBS,3800.0,84.0,Sa,426.0,2008,2,OFAP,0.0,,NDRK,CLER,0.0,0.0,NONE,10.0,57.0,45.0,70.0,5.0,0.0,30.040000915527344,MINR,VMC,34.429435,-118.750518,1,70.0,CL2,WWL,N,SUBS-MINR
20080227X00239,SUBS,1100.0,,Su,15.0,2008,2,OFAP,0.0,3330.0,DUSK,FEW,25000.0,0.0,NONE,10.0,63.0,7.0,80.0,5.0,0.0,30.149999618530273,NONE,VMC,33.748332,-102.066947,1,81.0,CL2,WWL,N,SUBS-NONE
20080312X00301,SUBS,1250.0,25.0,Fr,2045.0,2008,2,ONAP,0.0,880.0,DAYL,CLER,0.0,0.0,NONE,10.0,59.0,32.0,270.0,5.0,0.0,29.940000534057617,MINR,VMC,32.937221,-84.696113,1,70.0,SPRT,,N,SUBS-MINR
20080306X00278,SUBS,,,Su,2000.0,2008,2,ONAP,0.0,,DAYL,SCAT,8000.0,0.0,NONE,10.0,36.0,0.0,130.0,10.0,0.0,0.0,NONE,VMC,45.187221,-109.267219,1,57.0,CL1,,N,SUBS-NONE
20080219X00209,DEST,5990.0,,Sa,2140.0,2008,2,OFAP,0.0,,DAYL,,0.0,4000.0,OVC,10.0,61.0,36.0,320.0,8.0,0.0,29.979999542236328,FATL,IMC,34.000278,-116.778892,1,75.0,CL3,WWL,N,DEST-FATL
20080228X00244,SUBS,2558.0,18.0,Su,2130.0,2008,2,ONAP,0.0,638.0,DAYL,CLER,0.0,0.0,NONE,10.0,73.0,39.0,250.0,8.0,0.0,29.709999084472656,NONE,VMC,36.039443,-95.984443,1,28.0,CL3,WOWL,N,SUBS-NONE
20080214X00192,DEST,,,We,1540.0,2008,2,,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,FATL,,,,1,,,,N,DEST-FATL
20080306X00279,SUBS,,,We,2230.0,2008,2,ONAP,0.0,400.0,DAYL,CLER,0.0,0.0,NONE,10.0,61.0,0.0,330.0,13.0,18.0,0.0,NONE,VMC,37.693332,-121.820274,1,49.0,CL1,,N,SUBS-NONE
20080310X00292,SUBS,,,We,155.0,2008,2,ONAP,0.0,389.0,NITE,,0.0,1100.0,OVC,5.0,28.0,27.0,0.0,,0.0,30.049999237060547,NONE,VMC,39.077777,-77.557502,1,56.0,CL2,WWL,N,SUBS-NONE
20080220X00211,SUBS,2550.0,,Fr,345.0,2008,2,OFAP,0.0,,NITE,CLER,0.0,0.0,NONE,10.0,52.0,43.0,0.0,,0.0,30.1200008392334,NONE,VMC,33.307777,-111.655281,1,33.0,CL1,WWL,N,SUBS-NONE
20080306X00277,MINR,,,We,1645.0,2008,2,ONAP,0.0,,DAYL,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,30.19,-97.668609,1,72.0,CL3,,N,MINR-NONE
