ev_id,damage,cert_max_gr_wt,afm_hrs_last_insp,apt_elev,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wind_vel_kts,altimeter,ev_highest_injury,dec_latitude,dec_longitude,crew_age,severity_class,ev_nr_apt_loc_OFAP,ev_nr_apt_loc_ONAP,light_cond_DAWN,light_cond_DAYL,light_cond_DUSK,light_cond_NBRT,light_cond_NDRK,light_cond_NITE,light_cond_NR,sky_cond_nonceil_CLER,sky_cond_nonceil_FEW,sky_cond_nonceil_OVCT,sky_cond_nonceil_SCAT,sky_cond_ceil_BKN,sky_cond_ceil_OVC,sky_cond_ceil_VV,wx_cond_basic_IMC,wx_cond_basic_Unk,wx_cond_basic_VMC,crew_no_1,crew_no_2,crew_no_3,med_certf_BASC,med_certf_CL1,med_certf_CL2,med_certf_CL3,med_certf_SPRT,med_crtf_vldty_WOWL,med_crtf_vldty_WTLS,med_crtf_vldty_WWL,crew_tox_perf_N,crew_tox_perf_Y
20230823192929,1,0.012294151462013729,0.01301808960848038,0.1028295376121463,0.0,0.0,0.25,0.7837837837837838,0.12903225806451613,0.6224492874207481,1,0.6567026632449856,0.48739116055712983,0.09210526315789472,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
20100828X81852,1,0.015748107570202258,0.005339381060111403,0.08695652173913043,0.1,0.0,0.5,0.7837837837837838,0.12903225806451613,0.576530865459004,0,0.7755353557700351,0.2761705515238867,0.39473684210526316,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20211013104094,1,0.007946514402755435,0.005339381060111403,0.08695652173913043,0.6666666666666667,0.8333333333333334,0.25,0.7837837837837838,0.12903225806451613,0.6377547793169569,1,0.6331270225268748,0.49122457401743347,0.8026315789473685,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
20160523X20657,1,0.011569545285470679,0.005339381060111403,0.11071675046830326,0.16666666666666669,0.33333333333333337,0.25,0.7837837837837838,0.29032258064516125,0.6377547793169569,1,0.7264584802595533,0.5190588173973671,0.09210526315789472,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
20080613X00862,1,0.01591718234472897,0.005339381060111403,0.08606921029281278,0.15,0.0,0.25,0.7837837837837838,0.5483870967741935,0.5306124434972563,1,0.70971284037946,0.49134392960509954,0.8947368421052632,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
20200721X15152,1,0.01275306870715766,0.0015893140946288777,0.03125308094252194,0.0,0.0,0.25,0.7837837837837838,0.29032258064516125,0.5714287104480817,1,0.7080837907742722,0.5556000997137274,0.5526315789473685,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
20180122X00121,2,0.018332536266539134,0.005339381060111403,0.062210391402937985,0.0,0.0,0.25,0.6081081081081081,0.22580645161290322,0.5867351754808503,1,0.699500123728036,0.5392779235464998,0.3421052631578948,7,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20210909103832,1,0.016158717736909987,0.0005000089454951091,0.03460514640638864,0.3166666666666667,0.0,0.25,0.7837837837837838,0.25806451612903225,0.5816330204699263,1,0.7771224353879402,0.27501103384605163,0.6578947368421052,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
20180502X31917,1,0.011569545285470679,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,1.0,0.22580645161290322,0.6326526243060311,0,0.7715669754904753,0.26881422331625715,0.06578947368421054,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
20180603X31024,1,0.007946514402755435,0.0006964410076092291,0.09957606230898156,0.04666666666666667,0.15,0.25,0.7837837837837838,0.3870967741935484,0.49489833155735674,1,0.6846299923551634,0.4823927597866505,0.6447368421052632,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
